ALABAMA,Birmingham,"


Redeemer Presbyterian Chapel, Orthodox Presbyterian Church  (Oct. 22, 1999–September
6, 2002)
Redeemer Presbyterian Church, OPC (September 6, 2002– )
2122 Columbiana Road
Evangelist: Carl Russell, 1999–2001
Org. Pastor: Joseph Puglia, 2001–2
Pastors: Joseph Puglia, 2002–4
Mark Soud, 2015–
Teacher: Jerry Crick, 2008–12
Supply: Carl Russell, 2004–11
","- name: Redeemer Presbyterian Church
  origination_date: 2002-09-06
  names:
    - name: Redeemer Presbyterian Chapel, Orthodox Presbyterian Church
      start: 1999-10-22
      end: 2002-09-06
    - name: Redeemer Presbyterian Church, OPC
      start: 2002-09-06
  status:
    - active: true
  location:
    address: 2122 Columbiana Road
    city: Birmingham
    state: AL
  minister:
    - name: Carl Russell
      start: 1999-01-01
      end: 2001-01-01
      type: Evangelist
    - name: Joseph Puglia
      start: 2001-01-01
      end: 2002-01-01
      type: Organizing Pastor
    - name: Joseph Puglia
      start: 2002-01-01
      end: 2004-01-01
      type: Pastor
    - name: Mark Soud
      start: 2015-01-01
      type: Pastor
    - name: Jerry Crick
      start: 2008-01-01
      end: 2012-01-01
      type: Teacher
    - name: Carl Russell
      start: 2004-01-01
      end: 2011-01-01
      type: Supply Pastor
  raw_data: |
    ALABAMA Birmingham
    Redeemer Presbyterian Chapel, Orthodox Presbyterian Church (Oct. 22, 1999–September 6, 2002)
    Redeemer Presbyterian Church, OPC (September 6, 2002– )
    2122 Columbiana Road
    Evangelist: Carl Russell, 1999–2001
    Org. Pastor: Joseph Puglia, 2001–2
    Pastors: Joseph Puglia, 2002–4
    Mark Soud, 2015–
    Teacher: Jerry Crick, 2008–12
    Supply: Carl Russell, 2004–11"
ALABAMA,Hoover,"

Hoover Orthodox Presbyterian Mission  (February 27, 1991–April 16, 1994)
(received from the Presbyterian Church in America)
Pastor: Jon Smith, 1991–93
","- name: Hoover Orthodox Presbyterian Mission
  origination_date: 1991-02-27
  status:
    - active: false
    - received_from: Presbyterian Church in America
    - end_date: 1994-04-16
  location:
    city: Hoover
    state: AL
  minister:
    - name: Jon Smith
      start: 1991-01-01
      end: 1993-01-01
      type: Pastor
  raw_data: |
    ALABAMA
    Hoover
    Hoover Orthodox Presbyterian Mission  (February 27, 1991–April 16, 1994)
    (received from the Presbyterian Church in America)
    Pastor: Jon Smith, 1991–93"
ALABAMA,Madison,"

Providence Orthodox Presbyterian Chapel  (October 22, 1999–January 19, 2007)
Providence Orthodox Presbyterian Church (January 19, 2007– )
7745 Highway 72 West
Org. Pastors: Mark Smith, 2000–2003
Mark Winder, 2004–7
Evangelist: Carl Russell, 2002–4
Pastors: Mark Winder, 2007–10
Darren S. Thole, 2011–
","- name: Providence Orthodox Presbyterian Church
  origination_date: 2007-01-19
  names:
    - name: Providence Orthodox Presbyterian Chapel
      start: 1999-10-22
      end: 2007-01-19
    - name: Providence Orthodox Presbyterian Church
      start: 2007-01-19
      end: null
  status:
    - active: true
  location:
    address: 7745 Highway 72 West
    city: Madison
    state: AL
  minister:
    - name: Mark Smith
      start: 2000-01-01
      end: 2003-01-01
      type: Organizing Pastor
    - name: Mark Winder
      start: 2004-01-01
      end: 2007-01-19
      type: Organizing Pastor
    - name: Carl Russell
      start: 2002-01-01
      end: 2004-01-01
      type: Evangelist
    - name: Mark Winder
      start: 2007-01-19
      end: 2010-01-01
      type: Pastor
    - name: Darren S. Thole
      start: 2011-01-01
      end: null
      type: Pastor
  raw_data: |
    ALABAMA Madison
    Providence Orthodox Presbyterian Chapel  (October 22, 1999–January 19, 2007)
    Providence Orthodox Presbyterian Church (January 19, 2007– )
    7745 Highway 72 West
    Org. Pastors: Mark Smith, 2000–2003
    Mark Winder, 2004–7
    Evangelist: Carl Russell, 2002–4
    Pastors: Mark Winder, 2007–10
    Darren S. Thole, 2011–"
ALABAMA,Mobile,"

Heritage Orthodox Presbyterian Church  (July 27, 2001– )
Cottage Hill Presbyterian Church (fellowship hall), 4201 Cottage Hill Road
Pastor: Kenneth L. Wendland, 2001–
","- name: Heritage Orthodox Presbyterian Church
  origination_date: 2001-07-27
  names:
    - name: Heritage Orthodox Presbyterian Church
      start: 2001-07-27
      end:
  status:
    - active: true
  location:
    address: 4201 Cottage Hill Road
    city: Mobile
    state: AL
  minister:
    - name: Kenneth L. Wendland
      start: 2001-07-27
      end:
      type: Pastor
  raw_data: |
    ALABAMA Mobile
    Heritage Orthodox Presbyterian Church (July 27, 2001– )
    Cottage Hill Presbyterian Church (fellowship hall), 4201 Cottage Hill Road
    Pastor: Kenneth L. Wendland, 2001–"
ALASKA,Anchorage,"


Faith Orthodox Presbyterian Church  (March 26, 1995–June 27, 2006)
(withdrew to the PCA, June 27, 2006)
Pastors: David Inks, 1997–98
D. Leonard Gulstrom, 1999–2003
","- name: Faith Orthodox Presbyterian Church
  origination_date: 1995-03-26
  status:
    - active: false
    - reason: withdrawal
    - withdrawal_to: Presbyterian Church in America
    - end_date: 2006-06-27
  location:
    address:
    city: Anchorage
    state: AK
  minister:
    - name: David Inks
      start: 1997-01-01
      end: 1998-01-01
      type: Pastor
    - name: D. Leonard Gulstrom
      start: 1999-01-01
      end: 2003-01-01
      type: Pastor
  raw_data: |
    ALASKA
    Anchorage
    Faith Orthodox Presbyterian Church  (March 26, 1995–June 27, 2006)
    (withdrew to the PCA, June 27, 2006)
    Pastors: David Inks, 1997–98
    D. Leonard Gulstrom, 1999–2003"
ALASKA,Wasilla,"

Grace Orthodox Presbyterian Church  (December 11, 1994– )
(called New Life Orthodox Presbyterian Church, 1994–97)
2851 Bogard Road
Pastors: Thomas Albaugh, 1995–98
Martin Emmrich, 2003–7
M. Scott Johnson, 2007–
Supply: Mark Sumpter, 1989–93
Evangelist: Mark Sumpter, 1993–94
","- name: Grace Orthodox Presbyterian Church
  origination_date: 1994-12-11
  names:
    - name: Grace Orthodox Presbyterian Church
      start: 1994-12-11
    - name: New Life Orthodox Presbyterian Church
      start: 1994-12-11
      end: 1997-01-01
  status:
    - active: true
  location:
    address: 2851 Bogard Road
    city: Wasilla
    state: AK
  minister:
    - name: Thomas Albaugh
      start: 1995-01-01
      end: 1998-01-01
      type: Pastor
    - name: Martin Emmrich
      start: 2003-01-01
      end: 2007-01-01
      type: Pastor
    - name: M. Scott Johnson
      start: 2007-01-01
      type: Pastor
    - name: Mark Sumpter
      start: 1989-01-01
      end: 1993-01-01
      type: Supply Pastor
    - name: Mark Sumpter
      start: 1993-01-01
      end: 1994-01-01
      type: Evangelist
  raw_data: |
    ALASKA Wasilla
    Grace Orthodox Presbyterian Church  (December 11, 1994– )
    (called New Life Orthodox Presbyterian Church, 1994–97)
    2851 Bogard Road
    Pastors: Thomas Albaugh, 1995–98
    Martin Emmrich, 2003–7
    M. Scott Johnson, 2007–
    Supply: Mark Sumpter, 1989–93
    Evangelist: Mark Sumpter, 1993–94"
AZ,Concho,"


Concho Valley OPC mission (May 3, 2013– )
79 County Road
","- name: Concho Valley OPC mission
  origination_date: 2013-05-03
  names:
    - name: Concho Valley OPC mission
      start: 2013-05-03
      end: null
  status:
    - active: true
  location:
    address: 79 County Road
    city: Concho
    state: AZ
  minister: []
  raw_data: |
    AZ
    Concho
    Concho Valley OPC mission (May 3, 2013– )
    79 County Road"
AZ,Cottonwood,"

Verde Valley Reformed Chapel  (October 22, 2010– )
4855 E. Broken Saddle Dr.
Org. Pastor: Brian D. Chang, 2011–
","- name: Verde Valley Reformed Chapel
  origination_date: 2010-10-22
  status:
    - active: true
  location:
    address: 4855 E. Broken Saddle Dr.
    city: Cottonwood
    state: AZ
  minister:
    - name: Brian D. Chang
      start: 2011-01-01
      type: Organizing Pastor
  raw_data: |
    AZ
    Cottonwood
    Verde Valley Reformed Chapel  (October 22, 2010– )
    4855 E. Broken Saddle Dr.
    Org. Pastor: Brian D. Chang, 2011–"
AZ,Phoenix,"

Calvin Orthodox Presbyterian Church  (June 26, 1994– )
4150 E. Acoma Drive
Pastors: Wayne Buchtel, 1994–2005
Michael Babcock, 2007–
","- name: Calvin Orthodox Presbyterian Church
  origination_date: 1994-06-26
  status:
    - active: true
  location:
    address: 4150 E. Acoma Drive
    city: Phoenix
    state: AZ
  minister:
    - name: Wayne Buchtel
      start: 1994-06-26
      end: 2005-01-01
      type: Pastor
    - name: Michael Babcock
      start: 2007-01-01
      type: Pastor
  raw_data: |
    AZ
    Phoenix

    Calvin Orthodox Presbyterian Church  (June 26, 1994– )
    4150 E. Acoma Drive
    Pastors: Wayne Buchtel, 1994–2005
    Michael Babcock, 2007–"
AZ,Phoenix,"
Iglesia Nueva Vida Mission Work (May 6, 2005–13)
(absorbed into Calvin OPC)
Org. Pastor: Alberto Gomez
","- name: Iglesia Nueva Vida Mission Work
  origination_date: 2005-05-06
  end_date: 2013-01-01
  status:
    - active: false
    - reason: absorbed into Calvin OPC
  location:
    address:
    city: Phoenix
    state: AZ
  minister:
    - name: Alberto Gomez
      start:
      end:
      type: Organizing Pastor
  raw_data: |
    AZ
    Phoenix
    Iglesia Nueva Vida Mission Work (May 6, 2005–13)
    (absorbed into Calvin OPC)
    Org. Pastor: Alberto Gomez"
